id,Material_name,	E1,	E2,	G12, G23,	v12,	Info_source,	layer_thickness,	density,	perme_coeff, type
3,AKSAca A-42,	239500.000,	13400.000,	6810.000,5000,	0.200,	C.Wang,	0.20000000,	0.00000000176000,	8.2E-13,	CFRP
4,made1,	200000.000,	12000.000,	6000.000,5000,	0.200,	made up,	0.30000000,	0.00000000230000,	8.2E-13, CFRP
5,made2,	200000.000,	10000.000,	5900.000,5000,	0.200,	made up,	0.25000000,	0.00000000110000,	8E-13, GFRP
6,made3,	190000.000,	10000.000,	6000.000,5000,	0.200,	made up,	0.30000000,	0.00000000200000,	8E-13, GFRP
7,made4,	180000.000,	10000.000,	5200.000,5000,	0.200,	made up,	0.22000000,	0.00000000210000,	8E-13, GFRP
8,made5,	189900.000,	11000.000,	4000.000,5000,	0.200,	made up,	0.25000000,	0.00000000150000,	8E-13, CFRP
9,made6,	210000.000,	14000.000,	7000.000,5000,	0.200,	made up,	0.20000000,	0.00000000160000,	8E-13, NA
10,made7,	210000.000,	14000.000,	6500.000,5,	0.200,	made up,	0.21000000,	0.00000000180000,	8E-13, NA
11,made8,	224999.000,	15000.000,	6400.000,5,	0.200,	made up,	0.20000000,	0.00000000300000,	8E-13, kevlar
12,made9,	240000.000,	16000.000,	5400.000,5,	0.200,	made up,	0.29000000,	0.00000000160000,	8E-13,
13,made10,	250000.000,	15000.000,	6000.000,5,	0.200,	made up,	0.27000000,	0.00000000180000,	8E-13,
14,made11,	250000.000,	12000.000,	5000.000,5,	0.200,	made up,	0.22000000,	0.00000000179000,	8E-13,
